timestamp,model,role,task,benchmark,tier,score,score_reason,wall_seconds,prompt_chars,approx_prompt_tokens,api_prompt_tokens,completion_tokens,total_tokens,finish_reason,output_mode,response_chars,error,prompt_file,response_file,raw_response_file,memory_file
2026-05-04T05:13:33.370719+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,needle_position-64k,longctx-retrieval,64k,5,all position needles found,52.515,252065,63016,57187,263,57450,stop,normal_content,784,,/opt/atom/bench/prompts/generated/needle_position-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-needle_position-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-needle_position-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:14:17.362047+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,conflict_policy-64k,longctx-conflict,64k,5,correct current model and obsolete evidence,43.991,252286,63071,53379,137,53516,stop,normal_content,296,,/opt/atom/bench/prompts/generated/conflict_policy-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-conflict_policy-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-conflict_policy-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:14:18.163815+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,repo_architecture-64k,longctx-code,64k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (65633 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":65633,""n_ctx"":65536}}",0.801,255613,63903,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (65633 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":65633,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/repo_architecture-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-repo_architecture-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-repo_architecture-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:15:17.046477+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,duplicate_logic-64k,longctx-code,64k,4,text answer found duplicate group but JSON invalid,58.882,254626,63656,65378,158,65536,length,normal_content,676,,/opt/atom/bench/prompts/generated/duplicate_logic-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-duplicate_logic-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-duplicate_logic-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:15:18.099852+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,bug_risk-64k,longctx-code,64k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (65610 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":65610,""n_ctx"":65536}}",1.047,255520,63880,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (65610 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":65610,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/bug_risk-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-bug_risk-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-bug_risk-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:15:18.193563+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,refactor_plan-64k,longctx-code,64k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (65638 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":65638,""n_ctx"":65536}}",0.093,255648,63912,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (65638 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":65638,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/refactor_plan-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-refactor_plan-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-refactor_plan-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:15:18.289158+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,finance_memo-64k,longctx-finance,64k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (71304 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":71304,""n_ctx"":65536}}",0.095,251674,62918,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (71304 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":71304,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/finance_memo-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-finance_memo-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-finance_memo-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:06.645390+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,json_rules-64k,longctx-instructions,64k,4,granite fin-code<4 not marked not_for_code,48.356,253752,63438,53832,255,54087,stop,normal_content,851,,/opt/atom/bench/prompts/generated/json_rules-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-json_rules-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-json_rules-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:07.707490+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,needle_position-128k,longctx-retrieval,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (115786 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":115786,""n_ctx"":65536}}",1.061,509619,127404,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (115786 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":115786,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/needle_position-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-needle_position-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-needle_position-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:07.864408+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,conflict_policy-128k,longctx-conflict,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (107907 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":107907,""n_ctx"":65536}}",0.156,509707,127426,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (107907 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":107907,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/conflict_policy-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-conflict_policy-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-conflict_policy-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
